ahlan.	hello
moslsal.	series.
mosellsal.	series.
mouselsal.	series.
9anat.	channel.
qanat.	channel.
9anaat.	channel.
ich8ar.	advertisement.
moghnni.	singer.
moghenni.	singer.
moghanni.	singer.
fr9a.	band.
fer9a.	band.
jou9.	choir.
jo9.	choir.
kasiTa.	tape.
9anoun.	qanun.
9anon.	qanun.
9aanon.	qanun.
oustad.	teacher.
ostad.	teacher.
tlmid.	student.
tilmid.	student.
moudir.	director.
modir.	director.
3amid.	dean.
aamid.	dean.
sbbora.	blackboard.
sabbora.	blackboard.
sbora.	blackboard.
Tabachir.	chalk.
fizik.	physics.
lfizik.	physics.
tarikh.	history.
ryaDiat.	math.
riaDiat.	math.
ryaDa.	sport.
riaDa.	sport.
joghrafia.	geography.
drs.	course.
ders.	course.
dars.	course.
mti7an.	exam.
imti7an.	exam.
mtihan.	exam.
mti7ane.	exam.
ktab.	book.
kitab.	book.
dftar.	notebook.
deftar.	notebook.
daftar.	notebook.
btida2i.	elementary.
t3lim.	education.
ta3lim.	education.
mdrasa.	school.
medrasa.	school.
madrassa.	school.
medrassa.	school.
9ism.	class.
qism.	class.
lafak.	faculty.
lafac.	faculty.
la fac.	faculty.
lkollia.	faculty.
i3dadi.	middle school.
tanawi.	high school.
tanaoui.	high school.
jami3a.	university.
ljami3a.	university.
diplom.	diploma.
diplome.	diploma.
idara.	administration.
lidara.	administration.
Tawila.	bench.
flsafa.	philosophy.
falsafa.	philosophy.
felsafa.	philosophy.
mawad.	subjects.
3ilm.	science.
logha.	language.
lougha.	language.
adab.	literature.
3oloum.	sciences.
3ouloum.	sciences.
3olom.	sciences.
ktba.	writing.
kitaba.	writing.
ktaba.	writing.
jabr.	algebra.
8ndasa.	geometry.
handasa.	geometry.
8andasa.	geometry.
hndasa.	geometry.
l7sab.	computing.
7sab.	computing.
hsab.	computing.
chimi.	chemistry.
stilo.	pen.
stylo.	pen.
misTara.	ruler.
chkara.	bag.
9alam.	pencil.
qalam.	pencil.
mim7at.	eraser.
mimhat.	eraser.
3oTla.	holiday.
ta9afa.	culture.
taqafa.	culture.
7iSSa.	session.
7iSa.	session.
hiSSa.	session.
Sf7a.	page.
Saf7a.	page.
Sef7a.	page.
wr9a.	paper.
wer9a.	paper.
war9a.	paper.
warqa.	paper.
b7t.	research.
ba7t.	research.
be7t.	research.
sou2al.	question.
soual.	question.
ce2al.	question.
sa2al.	question.
jawab.	answer.
fikra.	idea.
7sab.	count.
7ssab.	count.
Tol.	length.
Toul.	length.
3rD.	width.
3arD.	width.
3erD.	width.
rtifa3.	hight.
irtifa3.	hight.
3lo.	hight.
3low.	hight.
moDo3.	topic.
mowDo3.	topic.
mawDou3.	topic.
mowDou3.	topic.
da2ira.	circle.
dwwara.	circle.
7rf.	letter.
7arf.	letter.
7erf.	letter.
klma.	word.
kalma.	word.
kelma.	word.
jomla.	phrase.
joumla.	phrase.
faSila.	comma.
tjriba.	experience.
tajriba.	experience.
tejriba.	experience.
kotla.	mass.
7ajm.	volume.
khaTa2.	wrong.
5aTa2.	wrong.
Sa7i7.	right.
Sahih.	right.
m9S.	scissors.
m9aSS.	scissors.
m9eSS.	scissors.
m9as.	scissors.
rawD.	kindergarten.
raouD.	kindergarten.
takhSSoS.	specialization.
ta5SSoS.	specialization.
takhaSSoS.	specialization.
ta5aSSoS.	specialization.
ni9ach.	discussion.
niqach.	discussion.
t7lil.	analysis.
te7lil.	analysis.
ta7lil.	analysis.
tahlil.	analysis.
tmrin.	exercise.
tamrin.	exercise.
temrin.	exercise.
min7a.	scholarship.
minha.	scholarship.
ghyab.	absence.
ghiab.	absence.
7oDor.	presence.
7oDour.	presence.
hoDour.	presence.
za2id.	plus.
na9iS.	minus.
naqis.	minus.
mDroub.	times.
m9soum.	divided.
me9soum.	divided.
m9som.	divided.
ma9soum.	divided.
mo3adala.	equation.
kasr.	fraction.
chakl.	shape.
zawyya.	angle.
zawia.	angle.
zawya.	angle.
Tibb.	medicine.
7aDana.	nursery school.
ddirasat l3olya.	higher education.
ddirasat l3olia.	higher education.
ma38ad.	institute.
me38ed.	institute.
ma3had.	institute.
m3hed.	institute.
bac.	baccalaureate.
lbac.	baccalaureate.
ma9al.	essay.
ma9aal.	essay.
ma9al.	article.
ma9aal.	article.
sellan.	absence.
sllan.	absence.
8chich.	fragile.
cha3l.	angry.
DaSr.	naughty.
modmin.	addicted.
moudmin.	addicted.
moudmine.	addicted.
ghabyy.	stupid.
ghaby.	stupid.
mkllkh.	stupid.
mkallakh.	stupid.
mkellekh.	stupid.
mkallekh.	stupid.
mjllj.	stupid.
mjellej.	stupid.
mjallaj.	stupid.
mjallej.	stupid.
kbir.	big.
kabir.	big.
Sghir.	small.
saghir.	small.
m8rrs.	broken.
mhrrs.	broken.
m8arras.	broken.
m8erras.	broken.
momill.	boring.
Sl3.	bald.
Sla3.	bald.
Sle3.	bald.
ghliD.	fat.
Tebbouzi.	fat.
r9i9.	thin.
rqiq.	thin.
Twil.	tall.
Twel.	tall.
9Sir.	short.
9ssir.	short.
zwin.	beautiful.
bogos.	handsome.
khayb.	ugly.
khayeb.	ugly.
5ayb.	ugly.
8bil.	crazy.
hbil.	crazy.
mSTTi.	crazy.
mSaTTi.	crazy.
mSeTTi.	crazy.
3aamr.	full.
aamr.	full.
3amer.	full.
3amr.	full.
jdid.	new.
9dim.	old.
qdim.	old.
charf.	old.
chaarf.	old.
S3ib.	hard.
9as7.	hard.
9aas7.	hard.
sa8l.	easy.
sahl.	easy.
m3TTl.	late.
m3TTel.	late.
m3aTTal.	late.
m3Tal.	late.
7a9i9ia.	real.
haqiqia.	real.
3adi.	normal.
gadd.	able.
bsiT.	simple.
basiT.	simple.
m399d.	complex.
m3a99ad.	complex.
m3e99ed.	complex.
m3a99ed.	complex.
t9il.	slow.
tqil.	slow.
t9il.	heavy.
tqil.	heavy.
was3.	wide.
waas3.	wide.
wase3.	wide.
wasa3.	wide.
nachT.	happy.
nacheT.	happy.
n9i.	clean.
nqi.	clean.
khayb.	bad.
khayeb.	bad.
5ayb.	bad.
3aadil.	fair.
3adil.	fair.
ghany.	rich.
ghani.	rich.
fa9ir.	poor.
faqir.	poor.
Tabi3i.	natural.
Taby3i.	natural.
mfrou9.	separate.
mafrou9.	separate.
mefro9.	separate.
mafro9.	separate.
mch8our.	famous.
mech8our.	famous.
mch8or.	famous.
mach8our.	famous.
fr7an.	glad.
far7an.	glad.
fer7an.	glad.
farhan.	glad.
dourijin.	original.
dorijin.	original.
khayf.	afraid.
5ayf.	afraid.
khayef.	afraid.
5ayef.	afraid.
Dakhm.	huge.
Da5m.	huge.
3imla9.	giant.
za8i.	cheerful.
zaa8i.	cheerful.
zahi.	cheerful.
zaahi.	cheerful.
fakhour.	proud.
fakhor.	proud.
fa5our.	proud.
fa5or.	proud.
raDi.	satisfied.
raaDi.	satisfied.
7azin.	sad.
nadm.	regretful.
naadm.	regretful.
naadem.	regretful.
mkta2b.	depressed.
mkta2b.	depressed.
mekta2eb.	depressed.
mekta2ab.	depressed.
mskin.	miserable.
meskin.	miserable.
maskin.	miserable.
miskin.	miserable.
mrta7.	comfortable.
merta7.	comfortable.
marta7.	comfortable.
mchghoul.	busy.
mchghol.	busy.
mechghoul.	busy.
machghoul.	busy.
mchTon.	worried.
mchToun.	worried.
mechTon.	worried.
machToun.	worried.
m3SSb.	nervous.
m3eSSeb.	nervous.
m3aSSab.	nervous.
m3aSSeb.	nervous.
mochaghib.	troublemaker.
mochaaghib.	troublemaker.
ghDban.	angry.
ghaDban.	angry.
gheDban.	angry.
mrg.	embarrassed.
mreg.	embarrassed.
mrag.	embarrassed.
7chman.	shy.
7echman.	shy.
7achman.	shy.
kalm.	calm.
calm.	calm.
wa7id.	lonely.
wa7yd.	lonely.
wahid.	lonely.
mnba8er.	amazed.
mnba8ar.	amazed.
mnba8r.	amazed.
menba8ar.	amazed.
mstghrb.	astonished.
msteghreb.	astonished.
mstaghreb.	astonished.
mestaghreb.	astonished.
mchoki.	shocked.
mrwwn.	confused.
mrewwen.	confused.
mrawwen.	confused.
mtredded.	hesitant.
mtradded.	hesitant.
mtraddad.	hesitant.
3yyan.	tired.
3eyyan.	tired.
msekhsekh.	tired.
mot3ab.	tired.
Tmma3.	greedy.
Tamma3.	greedy.
Temma3.	greedy.
anani.	selfish.
anaani.	selfish.
skhi.	generous.
s5i.	generous.
s9ram.	stingy.
se9ram.	stingy.
bakhil.	stingy.
ba5il.	stingy.
Drief.	kind.
Drayaf.	kind.
Drayef.	kind.
Dryef.	kind.
Sbbar.	patient.
Sabbar.	patient.
m2ddb.	polite.
m2ddeb.	polite.
m2eddeb.	polite.
m2addeb.	polite.
m3gaz.	lazy.
me3gaz.	lazy.
ma3gaz.	lazy.
mojta8id.	hardworking.
mojtahid.	hardworking.
moujta8id.	hardworking.
choja3.	brave.
chojaa3.	brave.
za3em.	brave.
zaa3em.	brave.
za3m.	brave.
fDoli.	curious.
fDouli.	curious.
mghrour.	arrogant.
mghror.	arrogant.
mtwaD3.	humble.
metwaDe3.	humble.
mtwaDa3.	humble.
ja8il.	ignorant.
jaa8il.	ignorant.
jahil.	ignorant.
3abiT.	silly.
dki.	smart.
7akim.	wise.
hakim.	wise.
nabigha.	genius.
naabigha.	genius.
amine.	trustworthy.
kddab.	liar.
keddab.	liar.
kaddab.	liar.
ghddar.	betrayer.
gheddar.	betrayer.
ghaddar.	betrayer.
nSSab.	swindler.
neSSab.	swindler.
naSSab.	swindler.
nyya.	naive.
nia.	naive.
nya.	naive.
mtfa2l.	optimistic.
mtfa2el.	optimistic.
motafa2il.	optimistic.
mtcha2m.	pessimistic.
mtcha2em.	pessimistic.
motacha2im.	pessimistic.
komik.	funny.
comic.	funny.
ytim.	orphan.
yatim.	orphan.
itym.	orphan.
ytym.	orphan.
7amla.	pregnant.
hamla.	pregnant.
ijabi.	positive.
silbi.	negative.
waa9i3i.	realistic.
wa9i3i.	realistic.
tay3yyef.	disgusting.
tay3yyf.	disgusting.
kay3iyyef.	disgusting.
kay3yyaf.	disgusting.
tay3adi.	contagious.
kay3adi.	contagious.
3ma.	blind.
Smk.	deaf.
Smek.	deaf.
Smak.	deaf.
zizoun.	mute.
zizon.	mute.
mchllel.	paralyzed.
mchallal.	paralyzed.
mchellal.	paralyzed.
mchallel.	paralyzed.
mo3wwa9.	handicapped.
mo3a9.	handicapped.
mo3aa9.	handicapped.
3agr.	sterile.
3ager.	sterile.
3agar.	sterile.
mj8oul.	unknown.
mj8ol.	unknown.
mjhoul.	unknown.
m9boul.	acceptable.
ma9boul.	acceptable.
m9bol.	acceptable.
m39ol.	reasonable.
m39oul.	reasonable.
mn7az.	biased.
men7az.	biased.
ma7az.	biased.
mn7aaz.	biased.
mo7ayid.	neutral.
mo7aayid.	neutral.
waaD7.	clear.
waaDe7.	clear.
mojrim.	criminal.
moujrim.	criminal.
9ttal.	murderer.
9ettal.	murderer.
ghali.	expensive.
rkhiS.	cheap.
ga3.	all.
lkhrin.	other.
khrin.	other.
zwin.	good.
lkher.	last.
b7al.	same.
sghir.	little.
mghyyer.	different.
lli mora.	next.
3aDim.	great.
ma7lli.	local.
ma7alli.	local.
jtima3i.	social.
jtimaa3i.	social.
mo8im.	important.
mohim.	important.
mohimm.	important.
waTani.	national.
3aali.	high.
3ali.	high.
Twil.	long.
ttani.	second.
tani.	second.
waas3.	large.
was3.	large.
3aamm.	general.
3amm.	general.
momkin.	possible.
moumkin.	possible.
chaabb.	young.
syasi.	political.
siasi.	political.
siyasi.	political.
3omoumi.	public.
3omomi.	public.
mo7ddad.	particular.
mojoud.	available.
mojod.	available.
bkri.	early.
bekri.	early.
asaasi.	main.
asasi.	main.
ra2isi.	major.
9tiSadi.	economic.
i9tiSadi.	economic.
mo2kkad.	sure.
ghaliban.	likely.
ghaaliban.	likely.
wa7id.	only.
wa7iid.	only.
dawli.	international.
m2kked.	certain.
mo2kkad.	certain.
mo3yyan.	certain.
momyyaz.	special.
S3ib.	difficult.
m7loul.	open.
kollchi.	whole.
neSS.	half.
7orr.	free.
markazi.	central.
mochtarak.	common.
cha2i3.	common.
chaa2i3.	common.
mtchab8.	similar.
Darouri.	necessary.
Darori.	necessary.
S7i7.	true.
3aazib.	single.
3azib.	single.
wa7id.	single.
khaSS.	private.
khaaSS.	private.
chkhSi.	personal.
chekhSi.	personal.
chakhSi.	personal.
maali.	financial.
ajnabi.	foreign.
chdid.	strong.
naa9S.	low.
mtnwwe3.	various.
mtnowwe3.	various.
7aaDir.	present.
7aDir.	present.
malaki.	royal.
khaT2.	wrong.
khaTi2.	wrong.
khaaT2.	wrong.
bo7do.	individual.
7aali.	current.
7ali.	current.
9aanouni.	legal.
9anouni.	legal.
9anoni.	legal.
7adit.	modern.
lkher.	final.
llekher.	final.
zwin.	nice.
mzyan.	fine.
mzian.	fine.
mezian.	fine.
9rib.	close.
m39ol.	serious.
m39oul.	serious.
saabi9.	previous.
sabi9.	previous.
mo3tabar.	significant.
ra2is.	prime.
Sinaa3i.	industrial.
Sina3i.	industrial.
mo7ddad.	specific.
monaasib.	appropriate.
monasib.	appropriate.
3aali.	top.
myyet.	dead.
mt2ssef.	sorry.
naaj7.	successful.
naj7.	successful.
7rbi.	military.
7arbi.	military.
7erbi.	military.
asaasi.	basic.
asasi.	basic.
wa3i.	aware.
waa3i.	aware.
mch8our.	popular.
mch8or.	popular.
mi8ani.	professional.
mobachir.	direct.
mobaachir.	direct.
mofid.	useful.
f33al.	effective.
f33aal.	effective.
wajd.	ready.
mDllem.	dark.
mDellem.	dark.
mDallem.	dark.
mosta9ill.	independent.
t9lidi.	traditional.
ghrbi.	western.
gherbi.	western.
gharbi.	western.
mo3tabar.	considerable.
bard.	cold.
baard.	cold.
ms2oul.	responsible.
ms2ol.	responsible.
kaml.	complete.
kaaml.	complete.
Tibbi.	medical.
skhoun.	hot.
skhon.	hot.
mo8imm.	essential.
mohimm.	essential.
dakari.	male.
awwali.	primary.
madani.	civil.
most9bali.	future.
by2i.	environmental.
bi2i.	environmental.
waD7.	obvious.
lkbir.	senior.
nawawi.	nuclear.
sanawi.	annual.
jihawi.	regional.
ji8awi.	regional.
tijari.	commercial.
tijaari.	commercial.
llekher.	latter.
taTbi9i.	practical.
3amali.	practical.
3ami9.	deep.
rsmi.	official.
rasmi.	official.
resmi.	official.
ra2isi.	chief.
montaDim.	regular.
m2louf.	usual.
m2lof.	usual.
zayd.	additional.
nachT.	active.
standar.	standard.
9wi.	powerful.
wasaT.	middle.
wsT.	middle.
gddami.	front.
mosta7il.	impossible.
mnzili.	domestic.
fi3li.	actual.
ti9ni.	technical.
3adi.	ordinary.
3aadi.	ordinary.
dakhili.	internal.
daakhili.	internal.
momtaz.	excellent.
momtaaz.	excellent.
Tri.	fresh.
b3id.	far.
mo7tamal.	potential.
chamali.	northern.
dini.	religious.
dyni.	religious.
diini.	religious.
ta9afi.	cultural.
ta9aafi.	cultural.
mochtarak.	joint.
bo7do.	alone.
aamin.	safe.
2aamin.	safe.
mo7afiD.	conservative.
mo7aafiD.	conservative.
chkli.	formal.
monasib.	proper.
bzzaf.	very.
9arawi.	rural.
mbda2i.	initial.
maghaddch.	unable.
mo3ddal.	average.
dafi.	warm.
daafi.	warm.
ghrib.	strange.
gharib.	strange.
mola2im.	suitable.
molaa2im.	suitable.
m7bob.	lovely.
m7boub.	lovely.
fawri.	immediate.
ijmali.	overall.
ijmaali.	overall.
msawi.	equal.
kafi.	sufficient.
dimo9raTi.	democratic.
dimou9raaTi.	democratic.
chr9i.	eastern.
cher9i.	eastern.
char9i.	eastern.
8adi2.	quiet.
8aadi2.	quiet.
t3limi.	educational.
t3liimi.	educational.
S7i7.	correct.
3ilmi.	scientific.
ontawi.	female.
39li.	mental.
khaTir.	dangerous.
7arij.	critical.
mDobl.	double.
mDoubl.	double.
sri3.	quick.
mamo7tamalch.	unlikely.
m2lof.	familiar.
m2louf.	familiar.
tarikhi.	historical.
taarikhi.	historical.
janoubi.	southern.
janobi.	southern.
mitaali.	perfect.
mitali.	perfect.
mSro3.	perfect.
mSrou3.	perfect.
yawmi.	daily.
mota7rrir.	liberal.
liberali.	liberal.
7aDari.	urban.
fogani.	upper.
fo9ani.	upper.
bayn.	apparent.
bayen.	apparent.
khaD3.	subject.
khaaD3.	subject.
sghiwwer.	tiny.
sghiwwr.	tiny.
mDwwi.	bright.
mDoowi.	bright.
akhla9i.	moral.
akhlaa9i.	moral.
badil.	alternative.
badiil.	alternative.
jddab.	attractive.
radd lbal.	careful.
7ayawi.	vital.
8amaji.	wild.
khawi.	empty.
damawi.	bloody.
khariji.	external.
charf.	elderly.
nisbi.	relative.
9dim.	ancient.
mkhtaSr.	brief.
mkhtaSer.	brief.
gadd.	capable.
9add.	capable.
namoudaji.	typical.
mtisse3.	broad.
mtiss3.	broad.
mDyye9.	narrow.
kollo.	entire.
ra2i3.	wonderful.
raa2i3.	wonderful.
tabt.	constant.
mitali.	ideal.
mitaali.	ideal.
akadimi.	academic.
9aaser.	minor.
9aaSir.	minor.
mamo8immch.	minor.
was3.	vast.
naadir.	rare.
nadir.	rare.
7aadd.	severe.
asaasi.	fundamental.
asasi.	fundamental.
daym.	permanent.
ra8ib.	terrible.
ra8iib.	terrible.
mriD.	ill.
ghliD.	thick.
maSiri.	crucial.
maSiiri.	crucial.
daakhili.	inner.
dakhili.	inner.
taab3.	subsequent.
mo3aSir.	contemporary.
mo3aaSir.	contemporary.
kbir.	grand.
sab9.	prior.
taanawi.	secondary.
tanawi.	secondary.
fchkel.	odd.
fchkl.	odd.
fchkal.	odd.
8a2il.	massive.
8aa2il.	massive.
haa2il.	massive.
bo7do.	unique.
7aadd.	sharp.
mriD.	sick.
choyou3i.	communist.
Saafi.	net.
mTwwel.	long-term.
modnib.	guilty.
chaamil.	extensive.
chamil.	extensive.
Dakhm.	enormous.
7yy.	alive.
7eyy.	alive.
7ayy.	alive.
zira3i.	agricultural.
ziraa3i.	agricultural.
ra2isi.	principal.
f33al.	efficient.
f33aal.	efficient.
mz8ar.	lucky.
mz8aar.	lucky.
3orfi.	conventional.
taTwwo3i.	voluntary.
taTawwo3i.	voluntary.
dramatiki.	dramatic.
mo299at.	temporary.
mow99at.	temporary.
da8abi.	golden.
7ibbi.	friendly.
m3tamd.	dependent.
tanafosi.	competitive.
tanaafosi.	competitive.
jdri.	radical.
jedri.	radical.
jadri.	radical.
7ssas.	sensitive.
7essas.	sensitive.
kharj.	outside.
khaarij.	outside.
khaarj.	outside.
5arj.	outside.
msTT7.	flat.
mseTTa7.	flat.
msaTTe7.	flat.
msaTTa7.	flat.
3aaTifi.	emotional.
3aTifi.	emotional.
khaT2.	false.
khaaTe2.	false.
monasib.	adequate.
monaasib.	adequate.
Si77i.	healthy.
chaamil.	global.
chamil.	global.
sri3.	rapid.
idaari.	administrative.
idari.	administrative.
skkouti.	silent.
skkoti.	silent.
l7dd.	maximum.
l7edd.	maximum.
D3if.	weak.
ml7ouD.	remarkable.
sirri.	secret.
3ziz.	dear.
jama3i.	mass.
fazg.	wet.
faazg.	wet.
9as7.	solid.
9ase7.	solid.
mota2lli9.	brilliant.
mt2elle9.	brilliant.
mt2alla9.	brilliant.
electroni.	electronic.
iliktroni.	electronic.
elektroni.	electronic.
moTla9.	absolute.
kaytchaf.	visual.
tlkhcheb.	wooden.
tlkhchab.	wooden.
Saarim.	firm.
Sarim.	firm.
tDDo.	electric.
kimya2i.	chemical.
saami.	supreme.
sami.	supreme.
adabi.	literary.
khaaliS.	pure.
9as7.	rough.
9aas7.	rough.
mojrrad.	mere.
aSiil.	genuine.
a9Saa.	extreme.
a9Sa.	extreme.
ba8t.	pale.
mntachr.	widespread.
mentacher.	widespread.
mntacher.	widespread.
katoliki.	catholic.
catoliki.	catholic.
klasiki.	classical.
classiki.	classical.
mofDDal.	favorite.
chtiraki.	socialist.
3rram.	numerous.
7lo.	sweet.
7low.	sweet.
7lou.	sweet.
mkhtalf.	distinct.
mkhtalef.	distinct.
tay9.	confident.
Dedd.	opposite.
mofid.	helpful.
S3ib.	tough.
mtnas9.	consistent.
mtnase9.	consistent.
sri3.	fast.
msta9err.	stable.
msta9arr.	stable.
goud.	straight.
kaykhle3.	awful.
stratiji.	strategic.
momtaz.	outstanding.
kliniki.	clinical.
a9all haja.	minimum.
a9all 7aja.	minimum.
wa3i.	conscious.
waa3i.	conscious.
msyTer.	dominant.
msiTer.	dominant.
bard.	cool.
dostouri.	constitutional.
dostori.	constitutional.
ghDban.	mad.
gheDban.	mad.
ghaDban.	mad.
naDari.	theoretical.
m8moum.	anxious.
mhmoum.	anxious.
m8mom.	anxious.
mo9ddas.	holy.
sakani.	residential.
monasib.	fit.
monaasib.	fit.
7eyy.	live.
7ayy.	live.
las9.	accurate.
mousi9i.	musical.
mosi9i.	musical.
fo9 l3ada.	extraordinary.
faw9 l3ada.	extraordinary.
fo9 l3aada.	extraordinary.
khari9 lil3ada.	extraordinary.
khar9 ll3ada.	extraordinary.
nazih.	honest.
nazi8.	honest.
d9i9.	precise.
bayn.	visible.
9lil.	slight.
dyal lflous.	monetary.
3an bo3d.	remote.
Sari7.	plain.
Sarii7.	plain.
b3id.	distant.
chomour.	unemployed.
chomor.	unemployed.
mchomer.	unemployed.
mchomr.	unemployed.
wagf.	still.
Drief.	gentle.
Driyef.	gentle.
nefsi.	psychological.
nfsi.	psychological.
SSghir.	junior.
mles.	smooth.
3anif.	violent.
3aniif.	violent.
haykali.	structural.
8aykali.	structural.
mdwwer.	round.
mdowwer.	round.
mdowwar.	round.
7ssas.	sensible.
mol99ab.	so-called.
mttaSel.	continuous.
9rib.	near.
momtann.	grateful.
zwin.	pretty.
waD7.	evident.
mawsimi.	occasional.
momti3.	pleasant.
kawni.	universal.
zamil.	fellow.
klasiki.	classic.
mossekh.	dirty.
mmossekh.	dirty.
kaykaafe2.	equivalent.
mrkhi.	loose.
mobdi3.	creative.
ni8aa2i.	ultimate.
loghawi.	linguistic.
taabt.	steady.
tabt.	steady.
fikri.	intellectual.
fa9d l2amal.	desperate.
9aDaa2i.	judicial.
tawri.	revolutionary.
imbraTouri.	imperial.
ghayr 9anoni.	illegal.
ghayr 9aanouni.	illegal.
ghayr 9aanoni.	illegal.
khaam.	raw.
khaariji.	outer.
khariji.	outer.
ghayr rsmi.	informal.
morr.	bitter.
marr.	bitter.
tjribi.	experimental.
jama3i.	collective.
kayt3awd.	frequent.
rou7i.	spiritual.
mcharji.	intense.
taarikhi.	historic.
tarikhi.	historic.
m39oul.	rational.
m39ol.	rational.
mamnasbch.	inadequate.
mamnasebch.	inadequate.
7add.	acute.
mnTi9i.	logical.
m9bol.	valid.
osbou3i.	weekly.
3chwa2i.	random.
mtwaD3.	modest.
mzyyer.	tight.
mzayyar.	tight.
mzeyyer.	tight.
automatic.	automatic.
na3s.	asleep.
na3es.	asleep.
dki.	clever.
dky.	clever.
ms2oul.	liable.
mes2oul.	liable.
motabaadal.	mutual.
motabadal.	mutual.
moDa3af.	multiple.
ti9a.	reliable.
bo7do.	sole.
nnawa7i.	nearby.
8aamichi.	marginal.
8amichi.	marginal.
mTab9.	identical.
bDDbT.	exact.
bDDebT.	exact.
bDDabT.	exact.
ntikhabi.	electoral.
momyyiz.	distinctive.
chafawi.	oral.
3ryan.	bare.
ri2aasi.	presidential.
ri2asi.	presidential.
3oDwi.	organic.
bl7sab.	statistical.
3ajil.	urgent.
3aajil.	urgent.
mrghoub.	desirable.
7Sri.	exclusive.
7eSri.	exclusive.
yawmi.	everyday.
ra2i3.	superb.
Saarim.	strict.
mamtwe99e3ch.	unexpected.
mamto99e3ch.	unexpected.
barii2.	innocent.
bari2.	innocent.
b7ri.	marine.
be7ri.	marine.
romansi.	romantic.
mSTane3.	artificial.
mo2ssasati.	institutional.
ra2i3.	magnificent.
bioloji.	biological.
biologi.	biological.
diplomasi.	diplomatic.
monaasib.	convenient.
monasib.	convenient.
8a2il.	tremendous.
8aa2il.	tremendous.
ra2smali.	capitalist.
ra2smaali.	capitalist.
khddam.	functional.
mikaniki.	mechanical.
mobaachir.	straightforward.
mami99ench.	uncertain.
mamty99ench.	uncertain.
r9mi.	digital.
mod8il.	spectacular.
3odwani.	aggressive.
3ryan.	naked.
machi 3aadil.	unfair.
mtfowwe9.	superior.
kolla ch8er.	monthly.
tchri3i.	legislative.
iDafi.	spare.
Sarii7.	explicit.
Sari7.	explicit.
mo2lim.	painful.
mtab3.	successive.
dki.	intelligent.
m9lle9.	unhappy.
m9alla9.	unhappy.
